PREDICTED_DEFAULT,PROBABILITY_DEFAULT
0,0.456773654
1,0.678233372
0,0.289557729
0,0.298821761
1,0.821142666
0,0.33434242
0,0.497870768
1,0.551642993
0,0.252898914
1,0.528397092
1,0.580124978
1,0.5836441
1,0.531851661
1,0.638244036
0,0.421973599
0,0.495408939
1,0.669338917
0,0.315157631
1,0.590164766
1,0.642786877
0,0.29766918
0,0.237813847
0,0.479088227
0,0.424201322
0,0.395500982
1,0.513720469
1,0.532918709
1,0.589374664
1,0.559034447
0,0.452498112
0,0.18563699
0,0.183785789
1,0.729965065
0,0.319497352
0,0.25778494
0,0.415976095
0,0.134164796
1,0.778398742
0,0.167856398
1,0.683172557
1,0.744740088
0,0.379591151
1,0.513188297
1,0.721457356
1,0.661145295
1,0.518756308
0,0.385375152
1,0.746101504
1,0.849046004
1,0.647795544
0,0.459379757
0,0.442558484
1,0.578904452
0,0.248574151
1,0.594556003
0,0.342271747
0,0.413602442
1,0.672518789
1,0.779671453
1,0.547773449
0,0.310705271
0,0.470356656
0,0.269028197
0,0.32797306
0,0.367018792
0,0.494575077
1,0.694307174
0,0.407615852
0,0.325474661
0,0.462121762
0,0.426331848
1,0.581855386
0,0.259804881
1,0.639763306
1,0.880678896
1,0.516740766
1,0.675155683
0,0.200274586
1,0.740370471
0,0.498638181
1,0.768138185
1,0.75361111
1,0.615894553
0,0.477846089
1,0.777802361
1,0.633941432
1,0.540865728
1,0.820242852
1,0.526285027
1,0.585269683
1,0.896411992
1,0.85364004
0,0.439013591
1,0.590513516
1,0.776509534
1,0.808637107
1,0.729502666
1,0.744721983
0,0.414357456
1,0.585454491
0,0.420966925
0,0.356641311
1,0.532887534
0,0.21610776
0,0.336789427
0,0.317298046
0,0.180576649
0,0.262758619
0,0.403570354
0,0.378205112
0,0.359168192
1,0.824620095
0,0.357309405
1,0.666511228
1,0.593474385
1,0.682580851
0,0.178550553
1,0.524557776
0,0.264054358
1,0.775734635
0,0.37001533
1,0.576412379
1,0.725444957
1,0.574927015
0,0.496654315
0,0.413314977
1,0.738541196
1,0.538684878
1,0.854598513
1,0.824920193
1,0.798272511
0,0.385768932
1,0.55157355
1,0.718091733
0,0.384970805
0,0.283760818
0,0.236030944
0,0.115412097
0,0.441578791
1,0.8226979
0,0.470980061
0,0.238717635
1,0.582883593
0,0.418228367
0,0.332162456
1,0.566547874
1,0.53712045
0,0.230332958
1,0.598034323
1,0.655213766
1,0.561221784
0,0.172776944
0,0.229850281
1,0.828892428
1,0.729808728
1,0.85234797
1,0.500910044
1,0.86821239
0,0.450526554
0,0.315333739
1,0.63665236
1,0.809651595
1,0.657720709
1,0.646892586
0,0.278811171
0,0.276915814
0,0.453875563
1,0.652361787
1,0.653734136
1,0.775800579
1,0.549879626
1,0.578171236
1,0.813255442
0,0.372655643
1,0.693592759
1,0.608201909
0,0.210172909
1,0.85040148
1,0.730609434
1,0.727664225
1,0.734537096
1,0.639261533
0,0.472369084
1,0.582455002
0,0.316639533
1,0.64009682
0,0.431702444
1,0.563960007
1,0.551190406
0,0.269911556
1,0.822516731
0,0.275239256
0,0.470365983
0,0.473701319
0,0.272829035
0,0.343043724
0,0.327429687
0,0.162182205
1,0.538985622
1,0.80050636
0,0.274258004
1,0.578223553
1,0.891528066
1,0.622319287
1,0.818450073
1,0.868181859
0,0.224031496
1,0.649327409
0,0.459683508
0,0.325358012
1,0.555607367
1,0.74812283
1,0.850282874
1,0.55219753
0,0.403279302
1,0.846477631
1,0.663359432
1,0.824870587
0,0.428512358
1,0.845743689
1,0.805841921
0,0.471404228
0,0.384583565
0,0.344289302
0,0.375804024
1,0.659513971
0,0.415436762
1,0.733964685
1,0.693063012
1,0.659498447
1,0.794324103
0,0.330622119
1,0.781003016
0,0.413185706
1,0.646061141
1,0.611789351
0,0.302301706
1,0.612984365
1,0.634180707
0,0.265355869
1,0.577826252
0,0.351031856
1,0.535674887
1,0.559163573
0,0.270712905
1,0.645249631
0,0.484211216
1,0.524263402
1,0.651747902
1,0.51306824
0,0.485810834
0,0.355386451
1,0.817305656
1,0.835304468
1,0.667590395
0,0.34194773
1,0.70693968
0,0.425973859
0,0.372264242
1,0.639002585
0,0.486597804
1,0.515152461
0,0.244586384
0,0.378020846
1,0.803821477
0,0.238818112
0,0.327597543
1,0.577982179
0,0.267316014
0,0.241118408
1,0.505571676
1,0.699673221
0,0.225827913
1,0.763974532
1,0.628953996
0,0.322122422
0,0.18520244
0,0.394647816
0,0.325221354
1,0.682498055
1,0.781934173
0,0.221120987
0,0.294888632
0,0.248179923
1,0.829043333
0,0.252885733
1,0.65766
1,0.834538151
0,0.485183175
0,0.33869745
1,0.891407604
0,0.185942948
1,0.753722879
0,0.266079605
1,0.777559155
0,0.160893203
0,0.319074593
1,0.507054365
1,0.700328952
1,0.524388456
0,0.367936082
0,0.487463704
0,0.38143323
1,0.59892042
0,0.256154509
1,0.694571305
0,0.301293918
1,0.668192411
1,0.529370488
0,0.450189224
1,0.72547347
1,0.644582121
1,0.638582171
1,0.526862256
1,0.667823265
0,0.320870055
1,0.667535926
0,0.425702752
0,0.364955621
0,0.296508139
1,0.68092397
0,0.402174048
1,0.536842728
0,0.239779358
0,0.391661647
0,0.388019976
0,0.362590459
0,0.478718234
0,0.405178279
1,0.82661151
1,0.672485808
1,0.696742126
0,0.459193753
1,0.600211555
0,0.24069625
1,0.731087966
1,0.65936468
0,0.465615493
1,0.71857894
1,0.586219534
0,0.492972869
0,0.185355995
1,0.637978751
1,0.673213847
0,0.455035572
0,0.148835378
1,0.603033103
